loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
0.8765132;0.7625;0.8930074;0.6882;0.8945416;0.6966;113;115;114;115
1.0407383;0.6125;0.76489943;0.7761;0.7936318;0.7638;113;115;114;115
0.8684023;0.7375;1.4594748;0.515;1.5763675;0.4875;113;115;114;115
1.6003174;0.4;1.2217;0.5824;1.2287625;0.5735;113;115;114;115
1.9380432;0.375;1.513453;0.4671;1.5500677;0.4654;113;115;114;115
1.4975294;0.5375;1.3323799;0.489;1.3659264;0.4958;113;115;114;115
0.7664461;0.7125;0.6221324;0.7914;0.6330325;0.7853;113;115;114;115
1.3977047;0.55;1.557675;0.4178;1.6044;0.4065;113;115;114;115
1.0900518;0.675;2.211828;0.3589;2.2302465;0.3684;113;115;114;115
0.872748;0.675;1.0897787;0.6052;1.1118836;0.6018;113;115;114;115
1.2720102;0.5625;1.055583;0.6199;1.0691761;0.619;113;115;114;115
0.7645343;0.7875;0.88355976;0.7124;0.8842535;0.7143;113;115;114;115
0.9488875;0.725;1.0653547;0.679;1.1041743;0.6668;112;115;114;115
0.8781298;0.7;1.6763496;0.5043;1.7121465;0.4959;112;115;114;115
0.52658814;0.8125;0.6950423;0.7922;0.74200636;0.7781;112;115;114;115
0.5204604;0.7875;0.63160545;0.8257;0.67974865;0.8091;112;115;114;115
0.7305697;0.825;0.67969275;0.7729;0.6980638;0.7599;110;115;114;115
0.6696872;0.7625;0.82405996;0.738;0.85653806;0.7384;109;115;114;115
0.41861287;0.8875;0.5067491;0.8461;0.5288986;0.8415;108;115;114;115
0.6767395;0.8;0.4362454;0.8752;0.46660712;0.8621;107;115;114;115
0.5855024;0.8;0.47846788;0.8581;0.4910614;0.8505;105;115;114;115
0.82082385;0.7875;0.6120678;0.8145;0.6608494;0.8018;105;115;114;115
0.51391554;0.8125;0.5905136;0.8271;0.5882167;0.8223;103;115;114;115
0.89459723;0.75;1.3835646;0.6856;1.3823346;0.6656;102;115;114;115
0.6432265;0.8125;0.50317806;0.8534;0.53833467;0.8425;100;115;114;115
0.4432177;0.8375;0.48136303;0.8642;0.48940137;0.8646;98;115;114;115
0.6320776;0.8125;0.54330415;0.8358;0.56051195;0.8301;97;115;114;115
0.28382668;0.8875;0.49103096;0.8559;0.55299705;0.8422;97;115;114;115
0.51482856;0.8125;0.50270665;0.8537;0.53373146;0.8433;95;115;114;115
0.39767128;0.85;0.5214229;0.8514;0.56815237;0.8466;94;115;114;115
0.6219052;0.7875;0.57630056;0.817;0.5825483;0.8208;93;115;114;115
0.84833586;0.7625;0.64792126;0.8011;0.66808355;0.792;93;115;114;115
0.5948657;0.7875;0.6327087;0.8001;0.6465589;0.7912;92;115;114;115
0.5430692;0.8875;0.49003485;0.8623;0.5075815;0.8573;92;115;114;115
0.79622585;0.7375;0.57370734;0.8327;0.5832793;0.8218;90;115;114;115
0.46729413;0.925;0.4047358;0.8888;0.43717524;0.8781;89;115;114;115
0.6638296;0.8;0.7940129;0.7759;0.7926292;0.7803;89;115;114;115
0.5940685;0.7875;0.6060647;0.819;0.63246346;0.8177;88;115;114;115
0.35805887;0.85;0.539906;0.8484;0.5592731;0.8454;87;115;114;115
0.5352341;0.85;0.3978539;0.8816;0.40424392;0.8799;87;115;114;115
0.4272048;0.8875;0.37153107;0.897;0.4018569;0.8813;84;115;114;115
0.5221804;0.85;0.511973;0.8642;0.53392446;0.8631;84;115;114;115
0.6008467;0.8625;0.44042543;0.8737;0.45549428;0.8715;83;115;114;115
0.6989025;0.8125;0.43651748;0.8714;0.4687546;0.8598;83;114;114;115
0.74510515;0.825;0.54125714;0.8438;0.5593082;0.8408;83;114;114;115
0.35955888;0.9;0.4591895;0.8613;0.47120565;0.8614;82;114;114;115
0.5046465;0.8375;0.4371468;0.8759;0.4779792;0.8746;82;114;114;115
0.41888466;0.8625;0.37539703;0.8899;0.4006852;0.8846;81;114;114;115
0.5863446;0.8125;0.4729374;0.8594;0.48939922;0.8561;81;114;114;115
0.6988847;0.8125;0.43615854;0.8703;0.49593166;0.8586;80;113;114;115
0.4835109;0.875;0.54351133;0.8341;0.593571;0.8162;80;113;114;115
0.46840754;0.85;0.45259318;0.8661;0.47178027;0.8645;80;113;114;115
0.54873407;0.85;0.4000706;0.893;0.42071825;0.8869;79;113;114;115
0.52269685;0.8625;0.6941581;0.8133;0.7308223;0.7993;79;113;114;115
0.5202724;0.7875;0.48712608;0.8621;0.54822344;0.8446;79;113;114;115
0.5068348;0.825;0.5459088;0.8249;0.5962011;0.8141;79;113;114;115
0.57292473;0.8125;0.44236776;0.8757;0.44602504;0.8668;78;113;114;115
0.44927606;0.825;0.4289748;0.8855;0.47493312;0.8697;78;113;114;115
0.4122637;0.9;0.3766852;0.8948;0.39708826;0.8886;78;113;114;115
0.28266624;0.925;0.3932986;0.8906;0.40613616;0.8843;78;113;114;115
0.51625574;0.8875;0.3313998;0.9053;0.34914476;0.9;77;113;114;115
0.29363573;0.9;0.3522502;0.8975;0.34404635;0.9042;77;113;114;115
0.5900582;0.8125;0.567427;0.8239;0.60756314;0.8175;77;113;114;115
0.55906546;0.775;0.51402295;0.8527;0.5383124;0.8417;77;113;114;115
0.7463392;0.825;0.58943725;0.8342;0.59533376;0.8309;77;113;114;115
0.79697734;0.75;0.47335112;0.8636;0.4895193;0.8561;77;113;114;115
0.5084529;0.8375;0.38400307;0.8915;0.40566236;0.886;76;113;114;115
0.6317587;0.8625;0.39539903;0.8908;0.42130205;0.8817;76;113;114;115
0.392006;0.825;0.5016289;0.8613;0.5189116;0.8576;76;113;114;115
0.24609995;0.925;0.38322565;0.8912;0.41217074;0.8842;76;113;114;115
0.3515598;0.925;0.30559176;0.9167;0.32670543;0.9103;76;113;114;115
0.22399497;0.925;0.37145475;0.8951;0.39490303;0.887;75;113;114;115
0.34710994;0.9125;0.4276313;0.8899;0.4613167;0.8772;75;113;114;115
0.46136492;0.825;0.606388;0.8094;0.6180588;0.8056;74;113;114;115
0.2424002;0.925;0.48030058;0.8669;0.53400403;0.8566;74;113;114;115
0.7804968;0.8;0.8280554;0.7556;0.893315;0.7444;74;113;114;115
0.6627891;0.8125;0.4655566;0.8668;0.45949042;0.8655;74;113;114;115
0.9055848;0.7875;0.47936842;0.8627;0.50491375;0.8581;74;113;114;115
0.43007118;0.8;0.43835157;0.8765;0.47877377;0.8658;74;113;114;115
0.55604935;0.8625;0.38964832;0.8892;0.4016813;0.8883;74;113;114;115
0.7071862;0.7875;0.5202487;0.8477;0.55113566;0.8413;74;113;114;115
0.49540004;0.8625;0.42393857;0.875;0.43536115;0.8737;74;113;114;115
0.39035958;0.8875;0.46307313;0.8703;0.46232098;0.8627;74;113;114;115
0.30138892;0.9;0.37575734;0.8933;0.4106315;0.8834;74;113;114;115
0.93506396;0.7875;0.42769164;0.8739;0.42313358;0.8724;74;113;114;115
0.45031995;0.875;0.35031354;0.8999;0.35561922;0.8981;74;113;114;115
0.43427235;0.8875;0.34668788;0.9035;0.3576172;0.9011;73;113;114;115
0.15844461;0.975;0.34809574;0.8984;0.3719162;0.8969;73;113;114;115
0.36308998;0.875;0.29817998;0.9126;0.31457636;0.9082;73;113;114;115
0.23877005;0.925;0.3119472;0.9124;0.34225646;0.8995;73;113;114;115
0.3003513;0.9;0.30760646;0.9117;0.337565;0.9031;73;113;114;115
0.2672851;0.8875;3.8904788;0.4673;3.96289;0.4528;73;113;114;115
